County,State,White_Non_Hispanic,Black,Native_American,Asian,Pacific_Islander,Some_Other_Race,Mixed,Hispanic
Wexford,Michigan,30783,187,163,186,1,112,1451,790
Churchill,Nevada,17870,428,1006,640,87,143,1756,3586
Clark,Nevada,892802,275002,8487,231972,18877,12890,124015,701416
Douglas,Nevada,38856,183,807,898,81,240,2282,6141
Elko,Nevada,34177,494,2378,555,85,247,2174,13592
Esmeralda,Nevada,521,4,20,4,0,0,41,139
Eureka,Nevada,1545,2,21,4,3,11,91,178
Humboldt,Nevada,11032,137,571,152,26,199,657,4511
Lander,Nevada,3975,7,206,27,10,19,234,1256
Lincoln,Nevada,3838,168,26,21,13,9,130,294
Lyon,Nevada,42350,488,1083,924,168,252,3631,10339
Mineral,Nevada,2858,161,711,64,8,16,228,508
Nye,Nevada,37313,1496,620,1028,217,291,2699,7927
Pershing,Nevada,4197,322,198,109,8,21,296,1499
Storey,Nevada,3338,24,38,67,8,34,255,340
Washoe,Nevada,287862,11527,5790,28063,3250,2485,25311,122204
White Pine,Nevada,6354,438,358,105,19,22,327,1457
Carson City,Nevada,37064,1079,1072,1358,110,292,2794,14870
Belknap,New Hampshire,58714,324,122,582,11,188,2503,1261
Carroll,New Hampshire,46947,131,100,358,6,206,1590,769
Cheshire,New Hampshire,69264,648,146,1067,46,305,3180,1802
Coos,New Hampshire,28629,494,84,193,3,71,1122,672
Grafton,New Hampshire,80370,783,180,2855,24,368,3959,2579
Hillsborough,New Hampshire,342652,10044,630,16413,112,2383,17205,33498
Merrimack,New Hampshire,137252,2536,310,3013,59,575,6183,3880
Rockingham,New Hampshire,283099,2076,342,6247,79,1236,10840,10257
Strafford,New Hampshire,114599,1434,251,4473,42,403,5773,3914
Sullivan,New Hampshire,39123,185,134,403,6,181,2209,822
Adams,Ohio,26185,84,74,39,1,33,844,217
Allen,Ohio,79691,12475,233,835,42,541,5117,3272
Ashland,Ohio,48948,383,82,322,33,103,1714,862
Ashtabula,Ohio,84064,3492,154,338,12,260,4765,4489
Athens,Ohio,54086,2768,223,1210,1,256,2437,1450
Auglaize,Ohio,43643,231,76,242,40,71,1338,781
Belmont,Ohio,60536,2071,83,265,11,130,2577,824
Brown,Ohio,41053,302,68,84,2,111,1569,487
Butler,Ohio,294712,34144,610,15658,480,1546,17942,25265
Carroll,Ohio,25204,122,73,52,3,56,912,299
Champaign,Ohio,35314,683,79,125,7,139,1719,648
Clark,Ohio,109794,12074,314,898,91,538,6979,5313
Clermont,Ohio,187749,3245,345,2529,58,611,9108,4956
Clinton,Ohio,38247,819,96,205,6,165,1715,765
Columbiana,Ohio,93466,2082,161,345,16,217,3838,1752
Coshocton,Ohio,34582,389,57,98,7,47,1031,401
Crawford,Ohio,39388,305,40,131,12,70,1441,638
Cuyahoga,Ohio,718753,365169,1827,43739,249,5745,46008,83327
Darke,Ohio,48994,302,92,181,26,122,1305,859
Defiance,Ohio,32276,598,79,133,15,88,1147,3950
Delaware,Ohio,171420,7702,242,18158,60,823,8707,7012
Erie,Ohio,61061,6655,121,474,10,232,3939,3130
Fairfield,Ohio,130664,13302,287,3063,31,515,7038,4021
Fayette,Ohio,26260,521,43,171,11,88,1176,681
Franklin,Ohio,787615,296076,2160,73714,444,7212,65404,91182
Fulton,Ohio,36968,225,60,152,6,120,1391,3791
Gallia,Ohio,26955,597,55,148,5,79,1119,262
Geauga,Ohio,88958,1075,36,666,8,220,2770,1664
Greene,Ohio,135603,11285,330,5516,87,876,9053,5216
Guernsey,Ohio,35717,520,87,149,7,65,1449,444
Hamilton,Ohio,519734,207764,1173,25160,618,3959,35981,36250
Hancock,Ohio,65107,1363,79,1393,26,220,2534,4198
Hardin,Ohio,28389,256,48,169,8,69,1060,697
Harrison,Ohio,13425,234,14,40,6,18,616,130
Henry,Ohio,24463,155,49,125,4,43,636,2187
Highland,Ohio,40492,518,109,110,8,96,1560,424
Hocking,Ohio,26502,139,45,71,0,53,1008,232
Holmes,Ohio,42875,119,33,64,5,41,612,474
Huron,Ohio,51242,562,139,216,12,106,2204,4084
Jackson,Ohio,30835,158,88,101,1,50,1114,306
Jefferson,Ohio,56545,3619,109,338,29,244,3206,1159
Knox,Ohio,58058,565,118,365,17,237,2165,1196
Lake,Ohio,197069,10778,236,3255,38,604,9261,11362
Lawrence,Ohio,54016,1100,134,219,7,135,2011,618
Licking,Ohio,152935,7142,386,4999,45,787,8237,3988
Logan,Ohio,41749,673,83,327,11,181,2122,1004
Lorain,Ohio,237520,22980,502,3569,50,1020,14406,32917
Lucas,Ohio,284663,83398,817,7089,115,1926,21104,32167
Madison,Ohio,37761,2664,59,253,4,176,1644,1263
Mahoning,Ohio,169090,33770,332,1952,59,708,8610,14093
Marion,Ohio,56114,4051,140,358,15,167,2558,1956
Medina,Ohio,165643,2292,192,2184,28,589,6950,4592
Meigs,Ohio,21180,148,49,22,0,43,596,172
Mercer,Ohio,39752,191,63,189,564,78,763,928
Miami,Ohio,96964,2559,152,1644,21,483,4752,2199
Monroe,Ohio,12909,19,12,21,3,19,335,67
Montgomery,Ohio,360396,112818,937,12714,244,2588,26433,21179
Morgan,Ohio,12525,396,20,24,2,49,659,127
Morrow,Ohio,32773,153,56,90,8,93,1197,580
Muskingum,Ohio,76947,2985,138,384,8,378,4515,1055
Noble,Ohio,12840,752,31,22,0,11,286,173
Ottawa,Ohio,36436,335,47,157,6,92,1232,2059
Paulding,Ohio,16972,139,41,30,5,61,548,1010
Perry,Ohio,33595,90,94,67,0,85,1225,252
Pickaway,Ohio,52416,2143,131,296,11,153,2486,903
Pike,Ohio,25470,190,110,70,6,44,979,219
Portage,Ohio,138774,7934,233,3400,38,558,7349,3505
Preble,Ohio,38700,182,84,162,4,98,1383,386
Putnam,Ohio,31427,100,25,61,3,61,545,2229
Richland,Ohio,104231,11216,192,791,58,473,5360,2615
Ross,Ohio,67705,4005,189,369,20,196,3578,1031
Sandusky,Ohio,48219,1762,75,202,7,159,2417,6055
Scioto,Ohio,67531,2038,254,274,9,210,2640,1052
Seneca,Ohio,48213,1314,66,359,36,158,2024,2899
Shelby,Ohio,44067,839,81,450,29,188,1789,787
Stark,Ohio,310535,28723,721,3175,97,1651,19435,10516
Summit,Ohio,397536,78922,777,22506,149,2096,25236,13206
Trumbull,Ohio,169627,16940,249,1099,26,609,9248,4179
